u_name,u_screen_name,t_date,t_text,t_polarity_score,t_polarity,t_subjectivity_score,u_followers,t_retweets,t_favorited,t_mentions
Sandy Tecimer,SandyTecimer,09/03/2019,"@IlanShahin @drpaulgill @babylonhealth @TELUSHealth @telus initially promised all this was coming but then outsourced to other companies &amp; downloaded costs to physicians. 

this should be a priority &amp; #onhealth should fund it. Patients have a right to access their info &amp; not lose time from work if can be done virtually safely.",0.16517857142857142,Negative,0.3526785714285714,203,1,0,"Ilan Shahin (IlanShahin), Dr Paul Gill (drpaulgill), Babylon (babylonhealth), TELUS Health (TELUSHealth), TELUS (TELUS)"
Ilan Shahin,IlanShahin,09/03/2019,"@drpaulgill @babylonhealth @TELUSHealth The whole competitive field can lag because switching costs are prohibitive. Any industry without the threat of churn is not going to innovate or improve value. Make it worthwhile for docs to use new features, open competition to provide it, and let see what happens.",0.20909090909090908,Neutral,0.4636363636363636,816,0,1,"Dr Paul Gill (drpaulgill), Babylon (babylonhealth), TELUS Health (TELUSHealth)"
Dr Paul Gill,drpaulgill,09/03/2019,@IlanShahin @babylonhealth @TELUSHealth What is the carrot for policy makers to make them change when their competitors are also lagging? Need a bigger stick for all?,0.0,Negative,0.5,144,0,0,"Ilan Shahin (IlanShahin), Babylon (babylonhealth), TELUS Health (TELUSHealth)"
Ilan Shahin,IlanShahin,09/03/2019,"@drpaulgill @babylonhealth @TELUSHealth Yeah, there is a set of obligations that come with the gate keeping power they have. Policy can’t let a lack of a business case be a reason for care without common sense elements.",-0.3,Negative,0.5,816,0,0,"Dr Paul Gill (drpaulgill), Babylon (babylonhealth), TELUS Health (TELUSHealth)"
Dr Paul Gill,drpaulgill,09/03/2019,@IlanShahin @babylonhealth @TELUSHealth The latter is just so slow though...,-0.15000000000000002,Negative,0.19999999999999998,144,0,0,"Ilan Shahin (IlanShahin), Babylon (babylonhealth), TELUS Health (TELUSHealth)"
Paul McCallum,Paul_MC75,09/03/2019,Some interesting insights from our healthcheck data #NoSmokingDay #babylon #data #cigonometry  https://t.co/AY4iFjevjb,0.5,Neutral,0.5,190,0,0,
Dr Paul Gill,drpaulgill,09/03/2019,@IlanShahin @babylonhealth @TELUSHealth Agree...there is a lot more they could and SHOULD do to enable better care. Those changes will likely need a business case for a private company like Telus to pursue vs a public owned vendor where savings would drive innovation and lead to better care. I prefer the latter I think,0.21428571428571427,Neutral,0.42023809523809524,144,0,1,"Ilan Shahin (IlanShahin), Babylon (babylonhealth), TELUS Health (TELUSHealth)"
Ilan Shahin,IlanShahin,09/03/2019,"@drpaulgill @babylonhealth @TELUSHealth There’s potential if deployed to enhance rather than undermine primary care. However they have yet to make email, patient access to records, online booking and e-referrals/e-consults ubiquitous despite all the opportunities.",0.2,Negative,0.75,816,1,7,"Dr Paul Gill (drpaulgill), Babylon (babylonhealth), TELUS Health (TELUSHealth)"
Dr Paul Gill,drpaulgill,09/03/2019,BC patients will be able to virtual visit an MD c/o ⁦@babylonhealth⁩ ⁦@TELUSHealth⁩...TELUS has largest share of primary care EMRs (in ON) which may enable the spread of this model here. The AI work being done here may be transformational! https://t.co/AS86tMhU9b,0.5,Neutral,0.5625,144,0,1,"Babylon (babylonhealth), TELUS Health (TELUSHealth)"
RxManuel,manuelmaly,09/03/2019,"@mugunthkumar @fruitcoder @peres @babylonhealth it sucks that you had this experience.  are you sure though that it was just the project‘s complexity to blame, and not rx?
my favorite arch for when rx is not an option is MVP. proper mvvm is hard to pull off without binding, in my experience 
cc @fpillet",0.08166666666666665,Negative,0.5661111111111111,666,0,2,"Mugunth Kumar 🌏 (mugunthkumar), Alex Hüllmandel (fruitcoder), Rui Peres (peres), Babylon (babylonhealth), Florent Pillet (fpillet)"
Florent Pillet,fpillet,09/03/2019,"@mugunthkumar @manuelmaly @fruitcoder @peres @babylonhealth Not sure this makes sense to me. MVC and MVVM are two vastly different approaches. MVVM works better with Rx, this is what I use daily on iOS.

Going for MVVM _without_ Rx is more complex, IMHO. They both fit perfectly together.",0.23125,Neutral,0.5361111111111111,2267,0,1,"Mugunth Kumar 🌏 (mugunthkumar), RxManuel (manuelmaly), Alex Hüllmandel (fruitcoder), Rui Peres (peres), Babylon (babylonhealth)"
David Pez,Daveypez,09/03/2019,Aah @babylonhealth - aren't they headed up by the lovely Ali Parsa who lost the Circle Health contract for Hinchinbrooke Hospital after a disastrous CQC report  and endless presentations on how tech was going solve all the problems they had? (Look him up on YouTube) https://t.co/UGV4iH01Ca,-0.10833333333333332,Negative,0.7666666666666666,192,0,0,Babylon (babylonhealth)
Bex,meloncarrier,09/03/2019,"Iv got horrible tummy ache, and don’t feel well. I used .@babylonhealth ‘s symptom checker and all I can say is that’s 5 mins of my life I won’t get back. Ischaemic bowel, really? 🙄 https://t.co/einapnAeEV",-0.26666666666666666,Negative,0.39999999999999997,767,21,44,Babylon (babylonhealth)
Lindsey Bell,whiterose_lady,09/03/2019,@DanielBayley80 @Cath_Read @GPatHand @missdaykes @EmergMedDr @paul_bate @doctor_oxford @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding As you say depends on how seriously the views of others are taken and treated. Couldn't have actual shares as again the GMS regs are very restrictive in that sense but it would be nice to see more GP practice give a decision making role to non GP colleagues and patients.,0.19333333333333333,Negative,0.5133333333333333,100,0,0,"Daniel Bayley (DanielBayley80), Catherine Read (Cath_Read), Babylon GP at hand (GPatHand), Jil Stein (missdaykes), Dr. Mike (EmergMedDr), Paul Bate (paul_bate), Rachel Clarke (doctor_oxford), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding)"
Daniel Bayley,DanielBayley80,09/03/2019,"@whiterose_lady @Cath_Read @GPatHand @missdaykes @EmergMedDr @paul_bate @doctor_oxford @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding Indeed, but it can be often tokenism or lacking in diversity. PPGs exist of course, but again similar problem.  I've heard some GPs say they treat their PPG as shareholders with voting rights. Not sure how it works in reality, but shareholders get legal voting rights.",-0.016666666666666663,Negative,0.49629629629629624,806,0,0,"Lindsey Bell (whiterose_lady), Catherine Read (Cath_Read), Babylon GP at hand (GPatHand), Jil Stein (missdaykes), Dr. Mike (EmergMedDr), Paul Bate (paul_bate), Rachel Clarke (doctor_oxford), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding)"
Daniel Bayley,DanielBayley80,09/03/2019,"Not before time. I do think BabylonHealth has forced this issue, so regardless of what people might think of them, patients can be thankful for this. Greater choice of access is a good thing and needs to be universal. https://t.co/E8LvIY1uyW",0.22499999999999998,Neutral,0.325,806,0,0,
Lindsey Bell,whiterose_lady,09/03/2019,"@DanielBayley80 @Cath_Read @GPatHand @missdaykes @EmergMedDr @paul_bate @doctor_oxford @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding There's nothing to stop GP practices including non GP colleagues and patients within the management structure of their practice (beyond nurse and practice mgrs) in the same way that CCGs have non-exec directors, lay members and patient reps. Wouldn't that be novel!!",0.0,Negative,0.125,100,0,0,"Daniel Bayley (DanielBayley80), Catherine Read (Cath_Read), Babylon GP at hand (GPatHand), Jil Stein (missdaykes), Dr. Mike (EmergMedDr), Paul Bate (paul_bate), Rachel Clarke (doctor_oxford), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding)"
Lindsey Bell,whiterose_lady,09/03/2019,@DanielBayley80 @Cath_Read @GPatHand @missdaykes @EmergMedDr @paul_bate @doctor_oxford @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding I've not heard of any but that's because of the regs around GP contracts and who can hold them. For the vast majority GMS/PMS they're incredibly restrictive. Part of the reason that APMS contracts were introduced to allow different types of orgs to hold GP practice contracts. 1/,0.3,Neutral,0.8333333333333334,100,0,0,"Daniel Bayley (DanielBayley80), Catherine Read (Cath_Read), Babylon GP at hand (GPatHand), Jil Stein (missdaykes), Dr. Mike (EmergMedDr), Paul Bate (paul_bate), Rachel Clarke (doctor_oxford), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding)"
Daniel Bayley,DanielBayley80,09/03/2019,"@whiterose_lady @Cath_Read @GPatHand @missdaykes @EmergMedDr @paul_bate @doctor_oxford @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding There was a US patient group which sold a stake to each member $25USD (I think) and you donate more to enable others less fortunate to have a stake. Really innovative model. Key is it is owned by patients, for patients and profits reinvested  / benefit patients.",0.24666666666666667,Neutral,0.6533333333333333,806,0,0,"Lindsey Bell (whiterose_lady), Catherine Read (Cath_Read), Babylon GP at hand (GPatHand), Jil Stein (missdaykes), Dr. Mike (EmergMedDr), Paul Bate (paul_bate), Rachel Clarke (doctor_oxford), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding)"
Daniel Bayley,DanielBayley80,09/03/2019,"@whiterose_lady @Cath_Read @GPatHand @missdaykes @EmergMedDr @paul_bate @doctor_oxford @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding A least with a private company there is an opportunity to have a seat at the table. I like the ""owned by patients for patients"" model. Are there any GPs operating this way or CICs?  I know a few NHS CIC hospitals not sure how they are owned.",-0.1875,Negative,0.4409722222222222,806,0,0,"Lindsey Bell (whiterose_lady), Catherine Read (Cath_Read), Babylon GP at hand (GPatHand), Jil Stein (missdaykes), Dr. Mike (EmergMedDr), Paul Bate (paul_bate), Rachel Clarke (doctor_oxford), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding)"
Lindsey Bell,whiterose_lady,09/03/2019,"@DanielBayley80 @EmergMedDr @missdaykes @GPatHand @Cath_Read @paul_bate @doctor_oxford @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding General Practice just shows that nationalising (the only bit ever nationalised before was hospitals) isn't the answer. Independent providers breed innovation, good financial management, willingness to work above min because of a vested interest in it working.",0.125,Negative,0.3875,100,0,2,"Daniel Bayley (DanielBayley80), Dr. Mike (EmergMedDr), Jil Stein (missdaykes), Babylon GP at hand (GPatHand), Catherine Read (Cath_Read), Paul Bate (paul_bate), Rachel Clarke (doctor_oxford), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding)"
Sally Goldsmith,Tempusetforte,09/03/2019,@DanielBayley80 @DrMurphy11 @babylonhealth @GPatHand @MattHancock Also recognition that Babylon works brulliantly for some people. New models needed to encompass both GP@Hand and traditional approaches.,0.06818181818181818,Negative,0.6022727272727273,158,0,1,"Daniel Bayley (DanielBayley80), Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand), Matt Hancock (MattHancock)"
Ian Jackson,dr_ianjackson,09/03/2019,"@DrMurphy11 @babylonhealth @GPatHand @MattHancock What I struggle to understand is the cost quoted here. To create bill of £10million wouldn't they need a list size much bigger than quoted? Around 100,000?",0.0,Negative,0.5,35,0,0,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand), Matt Hancock (MattHancock)"
Dr Murphy,DrMurphy11,09/03/2019,"Says the Health Secretary who appeared in a 'paid' advertorial for @babylonhealth...

#PaidNews = #FakeNews @EveningStandard #COI https://t.co/sgXoH53Y0g",0.0,Negative,0.0,4052,11,20,"Babylon (babylonhealth), Evening Standard (EveningStandard)"
Renaud Pradenc,renaudpradenc,09/03/2019,@aligatr @babylonhealth @Babylon_Eng Will you work remotely from Rennes ?,-0.1,Negative,0.2,152,0,0,"Olivier Halligon (aligatr), Babylon (babylonhealth), Babylon Engineering (Babylon_Eng)"
Mugunth Kumar 🌏,mugunthkumar,09/03/2019,"@manuelmaly @fruitcoder @peres @babylonhealth Reactive codebase is usually more complex (though not as bad as VIPER) than a equivalent MVVM/MVC code. From a 6 people team, downsizing to 2 was close to impossible.",-0.29166666666666663,Negative,0.6416666666666666,6430,0,0,"RxManuel (manuelmaly), Alex Hüllmandel (fruitcoder), Rui Peres (peres), Babylon (babylonhealth)"
RxManuel,manuelmaly,09/03/2019,@mugunthkumar @fruitcoder @peres @babylonhealth what is the reason(s) for that?,0.0,Negative,0.0,666,0,0,"Mugunth Kumar 🌏 (mugunthkumar), Alex Hüllmandel (fruitcoder), Rui Peres (peres), Babylon (babylonhealth)"
Mugunth Kumar 🌏,mugunthkumar,08/03/2019,@manuelmaly @fruitcoder @peres @babylonhealth I’ve seen many startups downsizing teams when they are unable to raise money. Downsizing big reactive teams is not easy.,-0.05416666666666667,Negative,0.4833333333333334,6430,0,0,"RxManuel (manuelmaly), Alex Hüllmandel (fruitcoder), Rui Peres (peres), Babylon (babylonhealth)"
Daniel Bayley,DanielBayley80,08/03/2019,"@whiterose_lady @EmergMedDr @missdaykes @GPatHand @Cath_Read @paul_bate @doctor_oxford @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding The problem is many don't declare what they really are. ""So and so family practice"" actually a Ltd. You can sometimes figure it out from registered details on companies house. Labour talks about re-nationalising  but no one dares discuss GP contracts.",0.2333333333333333,Neutral,0.26666666666666666,806,0,0,"Lindsey Bell (whiterose_lady), Dr. Mike (EmergMedDr), Jil Stein (missdaykes), Babylon GP at hand (GPatHand), Catherine Read (Cath_Read), Paul Bate (paul_bate), Rachel Clarke (doctor_oxford), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding)"
Lindsey Bell,whiterose_lady,08/03/2019,@DanielBayley80 @EmergMedDr @missdaykes @GPatHand @Cath_Read @paul_bate @doctor_oxford @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding Most are partnerships by agreement as LLPs can't hold GP contracts. Some limited companies but not as many as you might think. Limited co. Can only hold GMS/PMS in specific formats i.e. all shareholders GPs or other NHS Professional.,0.10401785714285715,Negative,0.3607142857142857,100,0,1,"Daniel Bayley (DanielBayley80), Dr. Mike (EmergMedDr), Jil Stein (missdaykes), Babylon GP at hand (GPatHand), Catherine Read (Cath_Read), Paul Bate (paul_bate), Rachel Clarke (doctor_oxford), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding)"
Krzysztof Zabłocki,merowing_,08/03/2019,"@inamiy @peres @babylonhealth The team keeps getting stronger, congrats!",0.0,Negative,0.0,13965,0,5,"Yasuhiro Inami (inamiy), Rui Peres (peres), Babylon (babylonhealth)"
Yasuhiro Inami,inamiy,08/03/2019,"This week was a blast joining the new iOS team at @BabylonHealth !
To be honest, I have never seen such autonomous, functional team with elegant and consistent codebase before. 
Still a lot of things to learn, I can't wait to contribute for the next service growth💗 https://t.co/4PXF2Z4jGx",0.27435064935064934,Neutral,0.5435064935064935,3014,1,54,Babylon (babylonhealth)
Daniel Bayley,DanielBayley80,08/03/2019,@DrMurphy11 @babylonhealth @GPatHand @MattHancock All this shows is that the NHS is not set up for patient choice. No one has answered the question of if it costs more.,0.5,Neutral,0.5,806,0,1,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand), Matt Hancock (MattHancock)"
Daniel Bayley,DanielBayley80,08/03/2019,@whiterose_lady @EmergMedDr @missdaykes @GPatHand @Cath_Read @paul_bate @doctor_oxford @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding Lowest of the low. hiding behind an anonymous profile swiping at patients. I believe toxic is the word being used in the media .... https://t.co/sU9hCotDEv,-0.2,Negative,0.5,806,0,3,"Lindsey Bell (whiterose_lady), Dr. Mike (EmergMedDr), Jil Stein (missdaykes), Babylon GP at hand (GPatHand), Catherine Read (Cath_Read), Paul Bate (paul_bate), Rachel Clarke (doctor_oxford), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding)"
Daniel Bayley,DanielBayley80,08/03/2019,"@whiterose_lady @EmergMedDr @missdaykes @GPatHand @Cath_Read @paul_bate @doctor_oxford @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding The majority (if not all) GP practices are private companies.
LLPs or Ltds.

The main difference seems to be Babylon wears it's logo with pride while most the others hide behind an NHS logo.",0.06666666666666665,Negative,0.4770833333333333,806,0,1,"Lindsey Bell (whiterose_lady), Dr. Mike (EmergMedDr), Jil Stein (missdaykes), Babylon GP at hand (GPatHand), Catherine Read (Cath_Read), Paul Bate (paul_bate), Rachel Clarke (doctor_oxford), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding)"
Daniel Bayley,DanielBayley80,08/03/2019,@whiterose_lady @EmergMedDr @missdaykes @GPatHand @Cath_Read @paul_bate @doctor_oxford @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding Nice .... Doctors sniping at patients when they talk about their experience and preferences .... good to know we're listened to .... and they wonder why BabylonHealth blind sided them.,0.2666666666666666,Neutral,0.7555555555555555,806,0,1,"Lindsey Bell (whiterose_lady), Dr. Mike (EmergMedDr), Jil Stein (missdaykes), Babylon GP at hand (GPatHand), Catherine Read (Cath_Read), Paul Bate (paul_bate), Rachel Clarke (doctor_oxford), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding)"
MRC LMS,MRC_LMS,08/03/2019,"Introducing our amazing #SuffrageScience panel: Caroline Hargrove of @babylonhealth, @rylie_green from @ImpEngineering &amp; @Frans_facts of @Ri_Science who will be discussing the 'needs and challenges in #engineering &amp; society'
#womeninengineering #IWD2019 https://t.co/ZtiwSxzjlB",0.6000000000000001,Neutral,0.9,2002,2,5,"Babylon (babylonhealth), Rylie Green (rylie_green), Imperial Engineering (ImpEngineering), Fran Scott (Frans_facts), Royal Institution (Ri_Science)"
Dr Murphy,DrMurphy11,08/03/2019,"A text book example of the inverse care law...

Destructive Healthcare, courtesy of @babylonhealth @GPatHand &amp; @MattHancock. https://t.co/rOqLfACm93",-0.6,Negative,0.6,4052,17,11,"Babylon (babylonhealth), Babylon GP at hand (GPatHand), Matt Hancock (MattHancock)"
Maria,mini_ginni,08/03/2019,"@babylonhealth trying to go through the full health check, and getting stuck on this because the answer is ""none"" but it's not available and I can't skip the question either.

help please https://t.co/TyByCU3UE3",0.07499999999999998,Negative,0.47500000000000003,3241,0,0,Babylon (babylonhealth)
Brandon Aylward,BrandonAylward,08/03/2019,.@babylonhealth triage #chatbot launches in British Columbia https://t.co/ffe7nmUo82 #digitalhealth #AI,0.0,Negative,0.0,847,1,1,Babylon (babylonhealth)
RxManuel,manuelmaly,08/03/2019,@fruitcoder @peres @babylonhealth ok that sounded as if 3rd party projects didn’t deserve the best devs :D projects with a high dev churn rate might be a better definition for leaving out rx tools.,0.5266666666666667,Neutral,0.47333333333333333,666,0,1,"Alex Hüllmandel (fruitcoder), Rui Peres (peres), Babylon (babylonhealth)"
RxManuel,manuelmaly,08/03/2019,"@fruitcoder @peres @babylonhealth heh yeah. for long-running projects (like your own product), i think you want the best devs anyway, and the best possible architecture, so you can go all out with this stuff. but for everything else, you _might_ want to keep it understandable for the average ios dev.",0.49000000000000005,Neutral,0.6,666,0,0,"Alex Hüllmandel (fruitcoder), Rui Peres (peres), Babylon (babylonhealth)"
Alex Hüllmandel,fruitcoder,08/03/2019,@manuelmaly @peres @babylonhealth At that point I was really enthusiastic and wanted everybody to use it. I was confused why colleagues weren‘t totally on board but I ignored that they haven‘t gone through the 2-3 years of enlightenment phase 😄,0.06666666666666665,Negative,0.7833333333333333,85,0,0,"RxManuel (manuelmaly), Rui Peres (peres), Babylon (babylonhealth)"
RxManuel,manuelmaly,08/03/2019,"@fruitcoder @peres @babylonhealth yeah i mean i’ve been at this point myself. it took me 2-3 years until i was really fluent in rx (slow learner, i guess).",-0.1375,Negative,0.42916666666666664,666,0,1,"Alex Hüllmandel (fruitcoder), Rui Peres (peres), Babylon (babylonhealth)"
Alex Hüllmandel,fruitcoder,08/03/2019,@manuelmaly @peres @babylonhealth They have a lot of trouble especially if they haven’t done Rx before and then start with a huge codebase. Then it‘s the usual learning curve to get into the reactive mindset I guess,-0.012499999999999983,Negative,0.5875,85,0,0,"RxManuel (manuelmaly), Rui Peres (peres), Babylon (babylonhealth)"
RxManuel,manuelmaly,08/03/2019,"@fruitcoder @peres @babylonhealth do the less experienced devs really not understand it, or are they just very slow with Rx codebases?",0.03583333333333334,Negative,0.4216666666666667,666,0,0,"Alex Hüllmandel (fruitcoder), Rui Peres (peres), Babylon (babylonhealth)"
Alex Hüllmandel,fruitcoder,08/03/2019,@peres @babylonhealth I don‘t want my codebase to be dependent on experienced developers. We started multiple projects with different reactive frameworks and maintenance is still a job of the senior devs. The current project is as Vanilla as it can get and I‘m happy that any new dev can work on it,0.28939393939393937,Neutral,0.5590909090909091,85,0,6,"Rui Peres (peres), Babylon (babylonhealth)"
Victor De León,victor__deleon,08/03/2019,@peres @dantoml @babylonhealth @Babylon_Eng hello i am iOS developer i can work remote... can we hang out,-0.1,Negative,0.2,303,0,0,"Rui Peres (peres), dani (dantoml), Babylon (babylonhealth), Babylon Engineering (Babylon_Eng)"
Dr Murphy,DrMurphy11,08/03/2019,"@bobkocher @BrookingsInst Bob, out of interest... Were you aware of the @babylonhealth #eHealth Chatbot at the time you wrote this?
#HealthTech #Governance
#eHealth #AI #Quackery 
https://t.co/CcPPIn1DlX",0.25,Neutral,0.25,4052,1,2,"Bob Kocher (bobkocher), Brookings (BrookingsInst), Babylon (babylonhealth)"
🍞BREADSHOP,the_breadshop,08/03/2019,health tracking app @babylonhealth teaming up with canadian telecom companies. Funnel for RFID https://t.co/oV2s0kTy1k,0.0,Negative,0.0,203,0,3,Babylon (babylonhealth)
simonmcbride,simonmcbride,08/03/2019,"Via Nature: ""Health authorities are overlooking risks to systems and society in their evaluations of new digital technologies"" &gt; Policies designed for drugs won't cut it in the world of artificial intelligence https://t.co/4uVMT1qEFK #AI #AIMed #digitalhealth #babylonhealth",-0.15454545454545454,Negative,0.48484848484848486,503,2,4,
TheTruthIsOutThere,TheTrut17585187,07/03/2019,@le___main @DrMurphy11 @juggysihota @TELUSHealth @TELUS @babylonhealth I wonder what the funding per patient divided by total cost is. I would bet Babylon is making a _big_ net loss per patient.,0.0,Negative,0.2833333333333333,2,0,0,"Matty James (le___main), Dr Murphy (DrMurphy11), Juggy Sihota-Chahil (juggysihota), TELUS Health (TELUSHealth), TELUS (TELUS), Babylon (babylonhealth)"
vanessa frank,vanessafrank3,07/03/2019,@doctor_oxford @SusanChubb1 @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding He took 19k from them I think as a payment @StillDelvingH ?,0.0,Negative,0.0,429,0,1,"Rachel Clarke (doctor_oxford), Susan Chubb#FBPE (SusanChubb1), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding), Facts Central (StillDelvingH)"
Paul Bate,paul_bate,07/03/2019,@dave_dlt @lisflett @rathfelder @Cath_Read @missdaykes @doctor_oxford @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding @witleymilford Great. Let's do that. And thanks again for the  invite.,0.5,Neutral,0.475,930,0,1,"Dave Triska (dave_dlt), Elisabeth Flett (lisflett), Martin Rathfelder (rathfelder), Catherine Read (Cath_Read), Jil Stein (missdaykes), Rachel Clarke (doctor_oxford), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding), Witley & Milford Surgeries (witleymilford)"
Dave Triska,dave_dlt,07/03/2019,@paul_bate @lisflett @rathfelder @Cath_Read @missdaykes @doctor_oxford @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding Been thinking on this. Paul when you come to visit @witleymilford I’d love to talk more about this; systems in the NHS could learn a lot from data like this.,0.5,Neutral,0.55,338,0,1,"Paul Bate (paul_bate), Elisabeth Flett (lisflett), Martin Rathfelder (rathfelder), Catherine Read (Cath_Read), Jil Stein (missdaykes), Rachel Clarke (doctor_oxford), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding), Witley & Milford Surgeries (witleymilford)"
Jeanette,JCelt,07/03/2019,@DrMurphy11 @babylonhealth @MattHancock @MHRAdevices Many thanks for the work you do and for bringing it to the attention of an unsuspecting public. Absolutely shocking that it’s been sanctioned &amp; promoted by govt in its current parlous state,-0.06000000000000001,Negative,0.4333333333333333,1217,0,2,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), Matt Hancock (MattHancock), MHRA Devices Safety (MHRAdevices)"
Pam oshanter,Pamos19,07/03/2019,@DrMurphy11 @babylonhealth @MattHancock @MHRAdevices And yet NHSE blindly let them carry on.... https://t.co/Zf6so3nT08,-0.5,Negative,0.6666666666666666,960,0,1,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), Matt Hancock (MattHancock), MHRA Devices Safety (MHRAdevices)"
Dr Murphy,DrMurphy11,07/03/2019,"Looking back on this #BadBot thread, the behaviour of @babylonhealth is shocking. 

It's a shameful tale of poor #HealthTech #Governance.

@MattHancock @MHRAdevices
https://t.co/Tux5CtNFUM",-0.4666666666666666,Negative,0.5333333333333333,4052,14,15,"Babylon (babylonhealth), Matt Hancock (MattHancock), MHRA Devices Safety (MHRAdevices)"
#hellomynameis JT,mellojonny,07/03/2019,"What GPs do 
Which is why computers/AI/@babylonhealth will never replace us
#teamGP
https://t.co/aiFeXW5ZqC https://t.co/ndUBuVtXSC",0.0,Negative,0.0,13826,9,25,Babylon (babylonhealth)
Pam oshanter,Pamos19,07/03/2019,@postersandme @doctor_oxford @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding Unbelievable!! 😡😡😡,-0.390625,Negative,1.0,960,0,0,"postersandme (postersandme), Rachel Clarke (doctor_oxford), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding)"
Dave Triska,dave_dlt,07/03/2019,@paul_bate @lisflett @rathfelder @Cath_Read @missdaykes @doctor_oxford @babylonhealth @MattHancock @NHSEngland @CQCProf @didoharding Happy to share our data openly,0.4,Neutral,0.75,338,0,1,"Paul Bate (paul_bate), Elisabeth Flett (lisflett), Martin Rathfelder (rathfelder), Catherine Read (Cath_Read), Jil Stein (missdaykes), Rachel Clarke (doctor_oxford), Babylon (babylonhealth), Matt Hancock (MattHancock), NHS England (NHSEngland), CQCProf (CQCProf), dido harding (didoharding)"
Dr Murphy,DrMurphy11,07/03/2019,"@harrylongman @keithgrimes @drmdsmith I think we would all agree; that Ali Parsa's Overblown Hype &amp; disdain for Evidence, has no place in Healthcare. Neither does the flawed @babylonhealth #eHealth Chatbot.

Is Babylon @GPatHand lumbered with some of the (massive) costs of the duff Chatbot?
https://t.co/cTQqG3CgnW",-0.25,Negative,0.75,4052,1,0,"Harry Longman (harrylongman), Dr Keith Grimes (keithgrimes), Mike Smith (drmdsmith), Babylon (babylonhealth), Babylon GP at hand (GPatHand)"
Paul McCallum,Paul_MC75,07/03/2019,Great article about @babylonhealth Well worth a read #healthcare #future #telemedicine https://t.co/puVSmM0qHt,0.3666666666666667,Neutral,0.325,190,0,1,Babylon (babylonhealth)
